State,Plastic Bag Laws
Alabama,No
Alaska,No
Arizona,Yes
Arkansas,No
California,Yes
Colorado,No
Connecticut,Yes
Delaware,Yes
District of Columbia,Yes
Florida,No
Georgia,No
Hawaii,No
Idaho,Yes
Illinois,Yes
Indiana,No
Iowa,No
Kansas,No
Kentucky,No
Louisiana,No
Maine,Yes
Maryland,No
Massachusetts,No
Michigan,No
Minnesota,No
Mississippi,Yes
Missouri,Yes
Montana,No
Nebraska,No
Nevada,No
New Hampshire,No
New Jersey,No
New Mexico,No
New York,Yes
North Carolina,Yes
North Dakota,Yes
Ohio,No
Oklahoma,Yes
Oregon,Yes
Pennsylvania,No
Rhode Island,Yes
South Carolina,No
South Dakota,No
Tennessee,Yes
Texas,No
Utah,No
Vermont,Yes
Virginia,No
Washington,No
West Virginia,No
Wisconsin,No
Wyoming,No
